snippet,intent
sys.settrace(tracefunc),"Set the system ’ s trace function , which allows you to implement a Python source code debugger in Python . For more fine-grained usage , it ’ s possible to set a trace function by assigning frame.f_trace = `tracefunc` explicitly , rather than relying on it being set indirectly via the return value from an already installed trace function ."
test.support.start_threads(threads),Context manager to start `threads` .
aifc.setpos(pos),Seek to the specified frame number . With arguments `pos`.
crypt.crypt(word),`word` will usually be a user ’ s password as typed at a prompt or in a graphical interface .
key not in d,Equivalent to not key in d.
email.utils.decode_params(params),"Decode parameters list according to RFC 2231. `params` is a sequence of 2-tuples containing elements of the form ( content-type , string-value ) ."
InteractiveInterpreter.runcode(code),Execute a `code` object .
"bisect.bisect_left(a, x, hi=len(a))",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
os.WCOREDUMP(status),"Return True if a core dump was generated for the process , otherwise return False . With arguments `status`."
inspect.cleandoc(doc),Clean up indentation from docstrings that are indented to line up with blocks of code . With arguments `doc`.
venv.EnvBuilder(clear=False),The EnvBuilder class accepts the following keyword arguments on instantiation : With arguments `clear`.
multiprocessing.Queue(maxsize),Returns a process shared queue implemented using a pipe and a few locks/semaphores . With arguments `maxsize`.
"turtle.circle(radius, extent=None)",Draw a circle with given `radius` . The center is radius units left of the turtle ; `extent` – an angle – determines which part of the circle is drawn .
"chunk.Chunk(file, align=True)","Class which represents a chunk . The `file` argument is expected to be a file-like object . If the optional argument `align` is true , chunks are assumed to be aligned on 2-byte boundaries ."
DeprecationWarning,Base class for warnings about deprecated features when those warnings are intended for other Python developers.
i_pv4_network.address_exclude(network),Computes the `network` definitions resulting from removing the given network from this one .
mh.set_sequences(sequences),"Re-define the `sequences` that exist in the mailbox based upon sequences , a dictionary of names mapped to key lists , like returned by get_sequences ( ) ."
"enumerate(iterable, start=0)","Return an enumerate object . `iterable` must be a sequence , an iterator , or some other object which supports iteration . The __next__ ( ) method of the iterator returned by enumerate ( ) returns a tuple containing a count ( from `start` which defaults to 0 ) and the values obtained from iterating over iterable ."
fileinput.input(bufsize=0),Create an instance of the FileInput class . With arguments `bufsize`.
str.expandtabs(tabsize=8),"Return a copy of the string where all tab characters are replaced by one or more spaces , depending on the current column and the given tab size . Tab positions occur every `tabsize` characters ( default is 8 , giving tab positions at columns 0 , 8 , 16 and so on ) ."
open(file),Open `file` and return a corresponding file object .
"tarfile.open(**kwargs, mode='r', fileobj=None)","Return a TarFile object for the pathname `name` . `mode` has to be a string of the form 'filemode [ : compression ] ' , it defaults to ' r ' . If `fileobj` is specified , it is used as an alternative to a file object opened in binary mode for name . With arguments `**kwargs`."
asyncio.gather(*aws),Run awaitable objects in the aws sequence concurrently . With arguments `*aws`.
"dataclasses.field(default=MISSING, default_factory=MISSING)","For common and simple use cases , no other functionality is required . To satisfy this need for additional information , you can replace the `default` field value with a call to the provided field ( ) function . As shown above , the MISSING value is a sentinel object used to detect if the default and `default_factory` parameters are provided ."
crypt.crypt(word),`word` will usually be a user ’ s password as typed at a prompt or in a graphical interface .
sequence_matcher.get_grouped_opcodes(n=3),Return a generator of groups with up to `n` lines of context .
"random.shuffle(x, random)","Shuffle the sequence `x` in place . The optional argument `random` is a 0-argument function returning a random float in [ 0.0 , 1.0 ) ; by default , this is the function random ( ) ."
"http.client.HTTPConnection(host, blocksize=8192)",An HTTPConnection instance represents one transaction with an HTTP server . It should be instantiated passing it a `host` and optional `port` number . The optional `blocksize` parameter sets the buffer size in bytes for sending a file-like message body .
"crypt.crypt(word, salt=None)","`word` will usually be a user ’ s password as typed at a prompt or in a graphical interface . The optional `salt` is either a string as returned from mksalt ( ) , one of the crypt.METHOD_* values ( though not all may be available on all platforms ) , or a full encrypted password including salt , as returned by this function ."
"asyncio.create_subprocess_exec(program, *args, **kwds)","Create a subprocess . With arguments `program`, `*args`, `**kwds`."
"os.makedev(major, minor)",Compose a raw device number from the `major` and `minor` device numbers .
"shutil.chown(path, user=None, group=None)",Change owner `user` and/or `group` of the given `path` .
"os.link(src, dst)",Create a hard link pointing to `src` named `dst` .
"save_signals.matches(self, d, **kwargs)","Try to match a single dict with the supplied arguments . With arguments `self`, `d`, `**kwargs`."
x not in s,Test x for non-membership in s.
"isinstance(object, classinfo)","Return true if the `object` argument is an instance of the `classinfo` argument , or of a ( direct , indirect or virtual ) subclass thereof ."
crypt.crypt(word),`word` will usually be a user ’ s password as typed at a prompt or in a graphical interface .
"os.makedev(major, minor)",Compose a raw device number from the `major` and `minor` device numbers .
"random.seed(a=None, version=2)","Initialize the random number generator . If `a` is omitted or None , the current system time is used . With `version` 2 ( the default ) , a str , bytes , or bytearray object gets converted to an int and all of its bits are used ."
xml.etree.ElementTree.iselement(element),Checks if an object appears to be a valid `element` object .
"turtle.setup(width=_CFG""width"", height=_CFG""height"")","Set the size and position of the main window . With arguments `width`, `height`."
"eval(expression, globals, locals)","The arguments are a string and optional `globals` and `locals` . The `expression` argument is parsed and evaluated as a Python expression ( technically speaking , a condition list ) using the globals and locals dictionaries as global and local namespace ."
"Node.toprettyxml(indent=""\t"")",Return a pretty-printed version of the document . `indent` specifies the indentation string and defaults to a tabulator ; `newl` specifies the string emitted at the end of each line and defaults to \n .
"os.popen(cmd, mode='r')","Open a pipe to or from command `cmd` . The return value is an open file object connected to the pipe , which can be read or written depending on whether `mode` is ' r ' ( default ) or ' w ' ."
ctypes.Array(*args),Abstract base class for arrays . With arguments `*args`.
"subprocess.run(args, input=None)","Run the command described by `args` . ( `timeout` , `input` , `check` , and `capture_output` are not . )"
"loop.create_unix_server(protocol_factory, path=None, backlog=100)","Similar to loop.create_server ( ) but works with the AF_UNIX socket family . `path` is the name of a Unix domain socket , and is required , unless a `sock` argument is provided . With arguments `protocol_factory`, `backlog`."
bdb.Bdb(skip=None),"The Bdb class acts as a generic Python debugger base class . The `skip` argument , if given , must be an iterable of glob-style module name patterns ."
executor.shutdown(wait=True),Signal the executor that it should free any resources that it is using when the currently pending futures are done executing . If `wait` is True then this method will not return until all the pending futures are done executing and the resources associated with the executor have been freed .
io.BufferedReader(raw),"A buffer providing higher-level access to a readable , sequential RawIOBase object . When reading data from this object , a larger amount of data may be requested from the underlying `raw` stream , and kept in an internal buffer ."
exit(),"Objects that when printed , print a message like “ Use quit ( ) or Ctrl-D ( i.e ."
directory.start_component(feature=None),"Add an entry to the Component table , and make this `component` the current component for this directory . If no `feature` is given , the current feature is used ."
formatter.DumbWriter(maxcol=72),"Simple writer class which writes output on the `file` object passed in as file or , if file is omitted , on standard output . The output is simply word-wrapped to the number of columns specified by `maxcol` ."
ArgumentParser.set_defaults(**kwargs),"Most of the time , the attributes of the object returned by parse_args ( ) will be fully determined by inspecting the command-line arguments and the argument actions . With arguments `**kwargs`."
exit(),"Objects that when printed , print a message like “ Use quit ( ) or Ctrl-D ( i.e ."
sqlite3.Connection,A SQLite database connection has the following attributes and methods:
"isinstance(object, classinfo)","Return true if the `object` argument is an instance of the `classinfo` argument , or of a ( direct , indirect or virtual ) subclass thereof ."
datetime.timedelta(days=0),"All arguments are optional and default to 0 . Only `days` , `seconds` and `microseconds` are stored internally ."
"difflib.ndiff(a, b, linejunk=None)",Compare `a` and `b` ( lists of strings ) ; return a Differ-style delta ( a generator generating the delta lines ) . Optional keyword parameters `linejunk` and `charjunk` are filtering functions ( or None ) :
"mmap.mmap(fileno, length)","( Windows version ) Maps `length` bytes from the file specified by the file handle `fileno` , and creates a mmap object ."
"bz2_decompressor.decompress(data, max_length=-1)","Decompress `data` ( a bytes-like object ) , returning uncompressed data as bytes . If `max_length` is nonnegative , returns at most max_length bytes of decompressed data ."
time.__str__(),"For a time t , str ( t ) is equivalent to t.isoformat ( ) ."
IMAP4.search(charset),"Search mailbox for matching messages . `charset` may be None , in which case no CHARSET will be specified in the request to the server ."
"widget.set(item, column=None, value=None)","With one argument , returns a dictionary of column/value pairs for the specified `item` . With two arguments , returns the current `value` of the specified `column` ."
abs(x),Return the absolute value of a number . With arguments `x`.
code.interact(local=None),"Convenience function to run a read-eval-print loop . If `local` is provided , it is passed to the InteractiveConsole constructor for use as the default namespace for the interpreter loop ."
lzma.LZMAFile(check=-1),"Open an LZMA-compressed file in binary `mode` . In this case , the `check` and `preset` arguments should not be used ."
email.headerregistry.Address(username=''),"The class used to represent an email address . As a convenience `addr_spec` can be specified instead of `username` and `domain` , in which case username and domain will be parsed from the addr_spec ."
"xml.sax.saxutils.prepare_input_source(source, base='')",This function takes an input `source` and an optional `base` URL and returns a fully resolved InputSource object ready for reading .
time.__str__(),"For a time t , str ( t ) is equivalent to t.isoformat ( ) ."
"callable(result, func, arguments)","`result` is what the foreign function returns , as specified by the restype attribute . `func` is the foreign function object itself , this allows reusing the same callable object to check or post process the results of several functions . `arguments` is a tuple containing the parameters originally passed to the function call , this allows specializing the behavior on the arguments used ."
"winsound.PlaySound(sound, flags)","Call the underlying PlaySound ( ) function from the Platform API . The `sound` parameter may be a filename , a system sound alias , audio data as a bytes-like object , or None . Its interpretation depends on the value of `flags` , which can be a bitwise ORed combination of the constants described below ."
View.GetColumnInfo(kind),"Return a record describing the columns of the view , through calling MsiViewGetColumnInfo ( ) . `kind` can be either MSICOLINFO_NAMES or MSICOLINFO_TYPES ."
"os.renames(old, new)","Recursive directory or file renaming function . After the rename , directories corresponding to rightmost path segments of the `old` name will be pruned away using removedirs ( ) . Works like rename ( ) , except creation of any intermediate directories needed to make the `new` pathname good is attempted first ."
"Pattern.split(string, maxsplit=0)","Identical to the split ( ) function , using the compiled pattern . With arguments `string`, `maxsplit`."
int(),"Return an integer object constructed from a number or string `x` , or return 0 if no arguments are given ."
element.append(subelement),Adds the element `subelement` to the end of this element ’ s internal list of subelements .
"os.putenv(key, value)",Set the environment variable named `key` to the string `value` .
"mailcap.findmatch(caps, key='view')","Return a 2-tuple ; the first element is a string containing the command line to be executed ( which can be passed to os.system ( ) ) , and the second element is the mailcap entry for a given MIME type . `key` is the name of the field desired , which represents the type of activity to be performed ; the default value is ‘ view ’ , since in the most common case you simply want to view the body of the MIME-typed data . With arguments `caps`."
"scheduler.enterabs(time, priority, action, kwargs={})","Schedule a new event . The `time` `argument` should be a numeric type compatible with the return value of the timefunc function passed to the constructor . Events scheduled for the same time will be executed in the order of their `priority` . Executing the event means executing `action` ( *argument , **kwargs ) . `kwargs` is a dictionary holding the keyword arguments for action ."
date.strftime(format),"Return a string representing the date , controlled by an explicit `format` string ."
"xml.etree.ElementTree.fromstringlist(sequence, parser=None)",Parses an XML document from a `sequence` of string fragments . `parser` is an optional parser instance .
"warnings.filterwarnings(action, message='')","Insert an entry into the list of warnings filter specifications . This checks the types of the arguments , compiles the `message` and `module` regular expressions , and inserts them as a tuple in the list of warnings filters . With arguments `action`."
memoryview.__eq__(exporter),A memoryview and a PEP 3118 `exporter` are equal if their shapes are equivalent and if all corresponding values are equal when the operands ’ respective format codes are interpreted using struct syntax .
"ArgumentParser.add_argument(name or flags..., action, nargs, const, default, type)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`, `default`, `type`."
"pickle.dump(obj, file)",Write the pickled representation of the object `obj` to the open `file` object file .
open(file),Open `file` and return a corresponding file object .
"calendar.prcal(year, w=0, m=3)","Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`, `m`."
inspect.getgeneratorstate(generator),Get current state of a generator-iterator . With arguments `generator`.
"ArgumentParser.add_argument(name or flags..., action, nargs, const, default)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`, `default`."
sync_manager.dict(mapping),Create a shared dict object and return a proxy for it . With arguments `mapping`.
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
sqlite3.version,"The version number of this module, as a string."
"text_calendar.formatyear(theyear, l=1)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
ensurepip.bootstrap(root=None),Bootstraps pip into the current or designated environment . `root` specifies an alternative root directory to install relative to .
codecs.StreamWriter(stream),Constructor for a StreamWriter instance . All `stream` writers must provide this constructor interface .
"os.link(src, dst)",Create a hard link pointing to `src` named `dst` .
"@functools.wraps(wrapped, updated=WRAPPER_UPDATES)","This is a convenience function for invoking update_wrapper ( ) as a function decorator when defining a wrapper function . With arguments `wrapped`, `updated`."
"window.chgat(y, x, num, attr)","Set the attributes of `num` characters at the current cursor position , or at position ( `y` , `x` ) if supplied . With arguments `attr`."
trace.Trace(trace=1),Create an object to `trace` execution of a single statement or expression .
"message.get_payload(i=None, decode=False)","Return the current payload , which will be a list of Message objects when is_multipart ( ) is True , or a string when is_multipart ( ) is False . With optional argument `i` , get_payload ( ) will return the i-th element of the payload , counting from zero , if is_multipart ( ) is True . Optional `decode` is a flag indicating whether the payload should be decoded or not , according to the Content-Transfer-Encoding header ."
platform.architecture(executable=sys.executable),Queries the given `executable` ( defaults to the Python interpreter binary ) for various architecture information .
"base64.a85encode(b, wrapcol=0, pad=False)",Encode the bytes-like object `b` using Ascii85 and return the encoded bytes . `wrapcol` controls whether the output should have newline ( b'\n ' ) characters added to it . `pad` controls whether the input is padded to a multiple of 4 before encoding .
print(*objects),"Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
directory.start_component(feature=None),"Add an entry to the Component table , and make this `component` the current component for this directory . If no `feature` is given , the current feature is used ."
gc.get_referrers(*objs),Return the list of objects that directly refer to any of objs . With arguments `*objs`.
window.delch(y),"Delete any character at ( `y` , `x` ) ."
IMAP4.response(code),"Return data for response `code` if received , or None ."
"message.set_type(type, header='Content-Type')",Set the main `type` and subtype for the Content-Type `header` .
"operator.methodcaller(name, args...)",Return a callable object that calls the method `name` on its operand . With arguments `args...`.
Database.OpenView(sql),"Return a view object , by calling MSIDatabaseOpenView ( ) . `sql` is the SQL statement to execute ."
IMAP4.select(mailbox='INBOX'),Select a `mailbox` .
"calendar.weekday(year, month, day)","Returns the `day` of the week ( 0 is Monday ) for `year` ( 1970–… ) , `month` ( 1–12 ) , day ( 1–31 ) ."
BaseCookie.output(header='Set-Cookie:'),Return a string representation suitable to be sent as HTTP headers . `attrs` and `header` are sent to each Morsel ’ s output ( ) method .
os.register_at_fork(before=None),Register callables to be executed when a new child process is forked using os.fork ( ) or similar process cloning APIs . Functions registered for execution `before` forking are called in reverse registration order .
test.support.start_threads(threads),Context manager to start `threads` .
ArgumentParser.exit(status=0),"This method terminates the program , exiting with the specified `status` and , if given , it prints a `message` before that ."
array.frombytes(s),"Appends items from the string , interpreting the string as an array of machine values ( as if it had been read from a file using the fromfile ( ) method ) . With arguments `s`."
curses.mouseinterval(interval),"Set the maximum time in milliseconds that can elapse between press and release events in order for them to be recognized as a click , and return the previous `interval` value ."
"BaseCookie.output(header='Set-Cookie:', sep='\r\n')","Return a string representation suitable to be sent as HTTP headers . `attrs` and `header` are sent to each Morsel ’ s output ( ) method . `sep` is used to join the headers together , and is by default the combination '\r\n ' ( CRLF ) ."
"loop.sock_connect(sock, address)",Connect `sock` to a remote socket at `address` .
"type(name, bases, dict)","With one argument , return the type of an object . The `name` string is the class name and becomes the __name__ attribute ; the `bases` tuple itemizes the base classes and becomes the __bases__ attribute ; and the `dict` dictionary is the namespace containing definitions for class body and is copied to a standard dictionary to become the __dict__ attribute ."
"binascii.crc_hqx(data, value)","Compute a 16-bit CRC `value` of `data` , starting with value as the initial CRC , and return the result ."
"os.renames(old, new)","Recursive directory or file renaming function . After the rename , directories corresponding to rightmost path segments of the `old` name will be pruned away using removedirs ( ) . Works like rename ( ) , except creation of any intermediate directories needed to make the `new` pathname good is attempted first ."
"setattr(object, name, value)","This is the counterpart of getattr ( ) . The arguments are an `object` , a string and an arbitrary `value` . The string may `name` an existing attribute or a new attribute ."
Warning,Base class for warning categories.
set(),"Return a new set object , optionally with elements taken from `iterable` ."
"dis.stack_effect(opcode, oparg)",Compute the stack effect of `opcode` with argument `oparg` .
datetime.timedelta(weeks=0),All arguments are optional and default to 0 . With arguments `weeks`.
"aifc.setcomptype(type, name)","Specify the compression `type` . The `name` parameter should be a human-readable description of the compression type as a bytes array , the type parameter should be a bytes array of length 4 ."
"text_calendar.formatyear(theyear, l=1, m=3)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`, `m`."
message.set_boundary(boundary),Set the `boundary` parameter of the Content-Type header to boundary .
"compileall.compile_dir(dir, rx=None)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . If `rx` is given , its search method is called on the complete path to each file considered for compilation , and if it returns a true value , the file is skipped ."
fileinput.input(files=None),Create an instance of the FileInput class . With arguments `files`.
turtle.ScrolledCanvas(master),"Used by class Screen , which thus automatically provides a ScrolledCanvas as playground for the turtles . With arguments `master`."
logging.Formatter(style='%'),"Returns a new instance of the Formatter class . The `style` parameter can be one of ‘ % ’ , ‘ { ‘ or ‘ $ ’ and determines how the format string will be merged with its data : using one of % -formatting , str.format ( ) or string.Template ."
argparse.ArgumentParser(description=None),"Create a new ArgumentParser object . Each parameter has its own more detailed `description` below , but in short they are :"
class.__bases__,The tuple of base classes of a class object.
logging.handlers.QueueHandler(queue),Returns a new instance of the QueueHandler class . The instance is initialized with the `queue` to send messages to .
"bisect.bisect_left(a, x)",Locate the insertion point for `x` in `a` to maintain sorted order .
"binascii.b2a_base64(data, newline=True)","Convert binary `data` to a line of ASCII characters in base64 coding . The return value is the converted line , including a `newline` char if newline is true ."
fileinput.input(backup=''),Create an instance of the FileInput class . With arguments `backup`.
"subprocess.run(args, shell=False)",Run the command described by `args` . With arguments `shell`.
"__import__(name, fromlist=())","This function is invoked by the import statement . The function imports the module `name` , potentially using the given `globals` and `locals` to determine how to interpret the name in a package context . The `fromlist` gives the names of objects or submodules that should be imported from the module given by name ."
aifc.setframerate(rate),Specify the sampling frequency in frames per second . With arguments `rate`.
"contextvars.ContextVar(name, default)","This class is used to declare a new Context Variable , e.g . The required `name` parameter is used for introspection and debug purposes . The optional keyword-only `default` parameter is returned by ContextVar.get ( ) when no value for the variable is found in the current context ."
len(proxy),Return the number of variables set in the context object . With arguments `proxy`.
ctypes.POINTER(type),This factory function creates and returns a new ctypes pointer `type` .
"compileall.compile_dir(dir, workers=1)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . The argument `workers` specifies how many workers are used to compile files in parallel ."
"msilib.Feature(db, id, title, desc, display, level=1, attributes=0)","Add a new record to the Feature table , using the values `id` , parent.id , `title` , `desc` , `display` , `level` , `directory` , and `attributes` . With arguments `db`."
Match.__getitem__(g),This is identical to m.group ( `g` ) .
bool(),"Return a Boolean value , i.e ."
weakref.WeakSet(elements),Set class that keeps weak references to its `elements` .
"xml.etree.ElementInclude.default_loader(href, parse)",Default loader . `href` is a URL . `parse` is for parse mode either “ xml ” or “ text ” .
unittest.main(argv=None),A command-line program that loads a set of tests from `module` and runs them ; this is primarily for making test modules conveniently executable . The `defaultTest` argument is either the name of a single test or an iterable of test names to run if no test names are specified via `argv` .
mailcap.findmatch(caps),"Return a 2-tuple ; the first element is a string containing the command line to be executed ( which can be passed to os.system ( ) ) , and the second element is the mailcap entry for a given MIME type . With arguments `caps`."
imp.reload(module),Reload a previously imported `module` .
"ordered_dict.move_to_end(key, last=True)",Move an existing `key` to either end of an ordered dictionary . The item is moved to the right end if `last` is true ( the default ) or to the beginning if last is false .
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
doctest.DocTestSuite(setUp=None),"Convert doctest tests for a `module` to a unittest.TestSuite . Optional arguments `setUp` , `tearDown` , and optionflags are the same as for function DocFileSuite ( ) above ."
"tarfile.open(**kwargs, mode='r', fileobj=None)","Return a TarFile object for the pathname `name` . `mode` has to be a string of the form 'filemode [ : compression ] ' , it defaults to ' r ' . If `fileobj` is specified , it is used as an alternative to a file object opened in binary mode for name . With arguments `**kwargs`."
email.utils.formataddr(pair),"The inverse of parseaddr ( ) , this takes a 2-tuple of the form ( realname , email_address ) and returns the string value suitable for a To or Cc header . If the first element of `pair` is false , then the second element is returned unmodified ."
aifc.getmark(id),Return the tuple as described in getmarkers ( ) for the mark with the given `id` .
datetime.isoformat(sep='T'),"Return a string representing the date and time in ISO 8601 format , YYYY-MM-DDTHH : MM : SS.ffffff or , if microsecond is 0 , YYYY-MM-DDTHH : MM : SS The optional argument `sep` ( default 'T ' ) is a one-character separator , placed between the date and time portions of the result ."
str(),Return a str version of `object` .
"warnings.filterwarnings(action, append=False)","Insert an entry into the list of warnings filter specifications . The entry is inserted at the front by default ; if `append` is true , it is inserted at the end . With arguments `action`."
bdb.dispatch_line(frame),"If the debugger should stop on the current line , invoke the user_line ( ) method ( which should be overridden in subclasses ) . With arguments `frame`."
msvcrt.putch(char),Print the byte string `char` to the console without buffering .
asyncio.Semaphore(value=1),A Semaphore object . The optional `value` argument gives the initial value for the internal counter ( 1 by default ) .
"random.shuffle(x, random)","Shuffle the sequence `x` in place . The optional argument `random` is a 0-argument function returning a random float in [ 0.0 , 1.0 ) ; by default , this is the function random ( ) ."
"imp.find_module(name, path)","Try to find the module `name` . If `path` is omitted or None , the list of directory names given by sys.path is searched , but first a few special places are searched : the function tries to find a built-in module with the given name ( C_BUILTIN ) , then a frozen module ( PY_FROZEN ) , and on some systems some other places are looked in as well ( on Windows , it looks in the registry which may point to a specific file ) ."
time.ctime(secs),"Convert a time expressed in seconds since the epoch to a string representing local time . If `secs` is not provided or None , the current time as returned by time ( ) is used ."
"IMAP4.login(user, password)",Identify the client using a plaintext `password` . With arguments `user`.
"nntplib.NNTP(host, password=None)","Return a new NNTP object , representing a connection to the NNTP server running on `host` host , listening at `port` port . If the optional `user` and `password` are provided , or if suitable credentials are present in /.netrc and the optional flag `usenetrc` is true , the AUTHINFO USER and AUTHINFO PASS commands are used to identify and authenticate the user to the server ."
key in d,"Return True if d has a key key, else False."
"max(iterable, key, default)",Return the largest item in an `iterable` or the largest of two or more arguments . The `key` argument specifies a one-argument ordering function like that used for list.sort ( ) . The `default` argument specifies an object to return if the provided iterable is empty .
int(x),"Return an integer object constructed from a number or string `x` , or return 0 if no arguments are given ."
IMAP4.error,Exception raised on any errors.
tracemalloc.start(nframe: int=1),Start tracing Python memory allocations : install hooks on Python memory allocators . With arguments `nframe: int`.
SSLSocket.read(len=1024),Read up to `len` bytes of data from the SSL socket and return the result as a bytes instance .
"compileall.compile_dir(dir, maxlevels=10)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . The `maxlevels` parameter is used to limit the depth of the recursion ; it defaults to 10 ."
"connection.backup(target, progress=None)","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . If `progress` is specified , it must either be None or a callable object that will be executed at each iteration with three integer arguments , respectively the status of the last iteration , the remaining number of pages still to be copied and the total number of pages ."
"itertools.product(*iterables, repeat=1)","Cartesian product of input iterables . To compute the product of an iterable with itself , specify the number of repetitions with the optional `repeat` keyword argument . With arguments `*iterables`."
"dataclasses.make_dataclass(cls_name, fields, init=True)","Creates a new dataclass with name `cls_name` , `fields` as defined in fields , base classes as given in `bases` , and initialized with a `namespace` as given in namespace . The values of `init` , `repr` , `eq` , `order` , `unsafe_hash` , and `frozen` have the same meaning as they do in dataclass ( ) ."
"itertools.compress(data, selectors)",Make an iterator that filters elements from `data` returning only those that have a corresponding element in `selectors` that evaluates to True .
len(s),Return the length ( the number of items ) of an object . With arguments `s`.
argparse.ArgumentParser(prog=None),Create a new ArgumentParser object . With arguments `prog`.
array.frombytes(s),"Appends items from the string , interpreting the string as an array of machine values ( as if it had been read from a file using the fromfile ( ) method ) . With arguments `s`."
"sys.set_asyncgen_hooks(firstiter, finalizer)",Accepts two optional keyword arguments which are callables that accept an asynchronous generator iterator as an argument . The `firstiter` callable will be called when an asynchronous generator is iterated for the first time . The `finalizer` will be called when an asynchronous generator is about to be garbage collected .
"dis.disassemble(code, lasti=-1)","Disassemble a `code` object , indicating the last instruction if `lasti` was provided ."
"dataclasses.make_dataclass(cls_name, fields)","Creates a new dataclass with name `cls_name` , `fields` as defined in fields , base classes as given in `bases` , and initialized with a `namespace` as given in namespace ."
typing.NewType(typ),"A helper function to indicate a distinct types to a typechecker , see NewType . With arguments `typ`."
CacheFTPHandler.setMaxConns(m),Set maximum number of cached connections to `m` .
"urllib.error.ContentTooShortError(msg, content)",This exception is raised when the urlretrieve ( ) function detects that the amount of the downloaded data is less than the expected amount ( given by the Content-Length header ) . The `content` attribute stores the downloaded ( and supposedly truncated ) data . With arguments `msg`.
TarInfo.fromtarfile(tarfile),Read the next member from the TarFile object `tarfile` and return it as a TarInfo object .
base64.b64encode(s),Encode the bytes-like object `s` using Base64 and return the encoded bytes .
"doctest.DocTestFinder(parser=DocTestParser(), recurse=True)","A processing class used to extract the DocTests that are relevant to a given object , from its docstring and the docstrings of its contained objects . The optional argument `parser` specifies the DocTestParser object ( or a drop-in replacement ) that is used to extract doctests from docstrings . If the optional argument `recurse` is false , then DocTestFinder.find ( ) will only examine the given object , and not any contained objects ."
array.append(x),Append a new item with value `x` to the end of the array .
"Template.copy(infile, outfile)",Copy `infile` to `outfile` through the pipe .
"datetime.timedelta(days=0, seconds=0)","All arguments are optional and default to 0 . Only `days` , `seconds` and `microseconds` are stored internally ."
"mmap.mmap(fileno, length, access=ACCESS_DEFAULT)","( Windows version ) Maps `length` bytes from the file specified by the file handle `fileno` , and creates a mmap object . With arguments `access`."
"random.shuffle(x, random)","Shuffle the sequence `x` in place . The optional argument `random` is a 0-argument function returning a random float in [ 0.0 , 1.0 ) ; by default , this is the function random ( ) ."
Cmd.default(line),Method called on an input `line` when the command prefix is not recognized .
"Packer.pack_fstring(n, s)","Packs a fixed length string , s. `n` is the length of the string but it is not packed into the data buffer . With arguments `s`."
View.GetColumnInfo(kind),"Return a record describing the columns of the view , through calling MsiViewGetColumnInfo ( ) . `kind` can be either MSICOLINFO_NAMES or MSICOLINFO_TYPES ."
"OSError(errno, strerror, filename)","This exception is raised when a system function returns a system-related error , including I/O failures such as “ file not found ” or “ disk full ” ( not for illegal argument types or other incidental errors ) . The particular subclass depends on the final `errno` value . With arguments `strerror`, `filename`."
oss_mixer_device.get(control),Returns the volume of a given mixer `control` .
"colorsys.yiq_to_rgb(y, i, q)","Convert the color from YIQ coordinates to RGB coordinates . With arguments `y`, `i`, `q`."
xml.dom.getDOMImplementation(features=()),"Return a suitable DOM implementation . The `features` list must be a sequence of ( feature , version ) pairs which are passed to the hasFeature ( ) method on available DOMImplementation objects ."
"pow(x, y)","Return `x` to the power `y` ; if `z` is present , return x to the power y , modulo z ( computed more efficiently than pow ( x , y ) % z ) ."
"random.choices(population, weights=None)","Return a `k` sized list of elements chosen from the `population` with replacement . If a `weights` sequence is specified , selections are made according to the relative weights ."
Match.expand(template),"Return the string obtained by doing backslash substitution on the `template` string template , as done by the sub ( ) method ."
"calendar.prcal(year, m=3)",Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `m`.
CookieJar.add_cookie_header(request),Add correct Cookie header to `request` .
"directory.glob(pattern, exclude=None)",Add a list of files to the current component as specified in the glob `pattern` . Individual files can be excluded in the `exclude` list .
float(x),Return a floating point number constructed from a number or string `x` .
"os.getrandom(size, flags=0)",Get up to `size` random bytes . The `flags` argument is a bit mask that can contain zero or more of the following values ORed together : os.GRND_RANDOM and GRND_NONBLOCK .
"doctest.Example(source, want, lineno=0, indent=0)","A single interactive example , consisting of a Python statement and its expected output . With arguments `source`, `want`, `lineno`, `indent`."
